,name,year,selling_price,km_driven,fuel,owner,seats,max_power (in bph),Mileage(KMPL),Engine (CC)
43,Maruti,2015,700000,110000,Diesel,Second Owner,7,88.76,20.77,1248
44,Maruti,2012,340000,24300,Petrol,First Owner,5,81.8,21.21,1197
45,Tata,2018,1025000,8000,Diesel,First Owner,5,108.5,21.5,1497
46,Volkswagen,2011,300000,100000,Diesel,Second Owner,5,103.6,20.54,1598
47,Ford,2011,160000,120000,Diesel,First Owner,5,68.0,20.0,1399
48,Maruti,2015,515000,36600,Petrol,First Owner,5,81.8,20.4,1197
49,Maruti,2015,390000,50000,Petrol,Second Owner,5,67.0,20.51,998
50,Maruti,2010,220000,120000,Diesel,First Owner,5,73.9,21.1,1248
51,Toyota,2010,300000,60000,Diesel,First Owner,5,87.2,21.43,1364
52,Tata,2017,490000,90000,Diesel,First Owner,5,74.0,22.95,1248
53,Maruti,2016,459999,60000,Petrol,Second Owner,5,83.14,20.85,1197
54,Tata,2019,520000,14000,Petrol,First Owner,5,84.0,20.3,1199
55,Maruti,2015,580000,70000,Diesel,First Owner,7,88.76,20.77,1248
56,Maruti,2017,550000,50000,Petrol,First Owner,5,83.14,20.85,1197
57,Maruti,2018,420000,35000,Petrol,First Owner,5,67.0,20.51,998
58,Maruti,2017,550000,20000,Petrol,First Owner,5,81.8,21.21,1197
59,Maruti,2018,700000,7800,Petrol,First Owner,5,81.8,22.0,1197
60,Maruti,2017,500000,20000,Petrol,First Owner,5,81.8,20.4,1197
61,Maruti,2015,290000,60000,Petrol,First Owner,5,67.04,20.51,998
62,Maruti,2018,830000,5000,Petrol,First Owner,5,83.1,21.4,1197
63,Maruti,2011,160000,25000,Petrol,Second Owner,5,46.3,19.7,796
64,Hyundai,2020,524000,32000,Petrol,First Owner,5,81.86,20.14,1197
65,Maruti,2015,245000,40000,Petrol,First Owner,5,47.3,22.74,796
66,Maruti,2016,350000,140000,Petrol,First Owner,5,67.04,20.51,998
67,Maruti,2010,250000,110000,Diesel,Second Owner,5,73.9,21.1,1248
68,Hyundai,2017,1100000,37000,Diesel,First Owner,5,126.2,19.67,1582
69,Maruti,2015,640000,80000,Diesel,First Owner,7,88.76,20.77,1248
70,Maruti,2013,550000,70000,Diesel,First Owner,5,74.0,23.4,1248
71,Hyundai,2009,200000,53000,Petrol,Second Owner,5,78.9,20.36,1197
72,Maruti,2014,500000,120000,Diesel,Second Owner,5,74.0,23.4,1248
73,Maruti,2015,350000,100000,Petrol,First Owner,5,83.11,20.4,1197
74,Hyundai,2017,800000,39000,Diesel,First Owner,5,88.73,22.54,1396
75,Hyundai,2013,530000,92500,Diesel,First Owner,5,126.3,22.32,1582
76,Maruti,2012,360000,158000,Diesel,First Owner,5,74.0,23.4,1248
77,Maruti,2015,525000,20000,Petrol,First Owner,5,83.14,20.85,1197
78,Maruti,2014,375000,80000,Petrol,First Owner,5,81.8,20.4,1197
79,Hyundai,2015,500000,70000,Diesel,Fourth & Above Owner,5,88.73,22.54,1396
80,Tata,2012,290000,60000,Diesel,First Owner,5,88.76,21.02,1248
81,Maruti,2005,110000,45000,Petrol,Second Owner,5,46.3,19.7,796
82,Maruti,2016,520000,20000,Petrol,First Owner,5,81.8,20.4,1197
83,Maruti,2019,675000,16500,Petrol,First Owner,5,81.8,21.01,1197
84,Maruti,2005,90000,99361,Petrol,Second Owner,5,46.3,19.7,796
85,Tata,2018,645000,10000,Petrol,First Owner,5,84.0,20.3,1199
86,Maruti,2017,409999,47000,Petrol,First Owner,5,67.04,20.51,998
87,Hyundai,2018,1210000,25000,Diesel,First Owner,5,88.7,21.38,1396
88,Maruti,2016,650000,50000,Petrol,First Owner,5,83.1,21.4,1197
89,Maruti,2014,400000,50000,Petrol,First Owner,5,81.8,20.4,1197
90,Maruti,2017,351000,36000,Petrol,First Owner,5,67.04,23.1,998
91,Maruti,2011,185000,185000,Diesel,Third Owner,5,73.9,21.1,1248
92,Maruti,2005,85000,80000,Petrol,Fourth & Above Owner,5,46.3,19.7,796
93,Maruti,2013,480000,110000,Diesel,Third Owner,7,88.76,20.77,1248
94,Ford,2010,170000,90000,Diesel,Second Owner,5,68.0,20.0,1399
95,Maruti,2018,610000,52000,Petrol,First Owner,5,81.8,22.0,1197
96,Renault,2018,390000,13000,Petrol,First Owner,5,53.26,20.71,799
97,Toyota,2013,400000,70000,Diesel,Second Owner,5,67.06,23.59,1364
98,Hyundai,2009,215000,60000,Petrol,First Owner,5,78.9,20.36,1197
99,Renault,2014,570000,40000,Diesel,First Owner,5,83.8,20.45,1461
100,Hyundai,2010,140000,70000,Petrol,Fourth & Above Owner,5,78.9,20.36,1197
101,Maruti,2013,225000,58343,Petrol,First Owner,5,67.05,21.79,998
102,Maruti,2019,650000,5621,Petrol,First Owner,5,81.8,22.0,1197
103,Maruti,2018,600000,69779,Petrol,First Owner,5,81.8,22.0,1197
104,Hyundai,2010,150000,106000,Petrol,Third Owner,5,78.9,20.36,1197
105,Hyundai,2014,535000,70000,Diesel,Third Owner,5,126.32,22.32,1582
106,Maruti,2012,300000,100000,Diesel,Second Owner,5,88.8,21.5,1248
107,Maruti,2016,240000,50000,Petrol,First Owner,5,47.3,22.74,796
108,Maruti,2020,409999,35000,CNG,First Owner,5,61.7,20.88,1196
109,Maruti,2010,150000,80000,Petrol,First Owner,5,67.1,20.92,998
110,Hyundai,2013,219000,50000,Petrol,Second Owner,5,55.2,21.1,814
111,Hyundai,2017,950000,45000,Diesel,First Owner,5,88.7,21.38,1396
112,Maruti,2010,160000,80000,Petrol,Second Owner,5,46.3,19.7,796
113,Toyota,2013,450000,67000,Diesel,First Owner,5,67.1,23.59,1364
114,Maruti,2013,530000,120000,Diesel,Second Owner,5,74.0,23.4,1248
115,Volkswagen,2015,520000,110000,Diesel,Second Owner,5,88.8,20.14,1498
116,Mahindra,2011,229999,170000,Diesel,Second Owner,5,64.1,21.0,1461
117,Maruti,2014,320000,50000,Petrol,First Owner,5,67.04,23.1,998
118,Ford,2015,292000,70000,Diesel,First Owner,5,68.05,20.0,1399
119,Maruti,2014,385000,25000,Petrol,First Owner,5,67.04,23.1,998
120,Maruti,2019,675000,10000,Petrol,First Owner,5,81.8,21.21,1197
121,Ford,2018,950000,30000,Diesel,First Owner,5,98.96,23.0,1498
122,Hyundai,2015,610000,50000,Diesel,Second Owner,5,88.73,21.19,1396
123,Hyundai,2012,525000,120000,Diesel,First Owner,5,88.73,22.54,1396
124,Maruti,2015,434999,50000,Petrol,Second Owner,5,83.11,20.4,1197
125,Renault,2018,1050000,18000,Diesel,First Owner,5,108.45,19.6,1461
126,Ford,2013,300000,60000,Diesel,Second Owner,5,90.0,23.5,1498
127,Hyundai,2008,229999,50000,Petrol,First Owner,5,68.05,19.81,1086
128,Hyundai,2018,500000,60000,Petrol,First Owner,5,81.86,20.14,1197
129,Maruti,2014,250000,25000,Petrol,First Owner,5,47.3,22.74,796
130,Volkswagen,2011,250000,70000,Diesel,Second Owner,5,103.6,20.54,1598
131,Toyota,2013,409999,45000,Diesel,First Owner,5,67.06,23.59,1364
132,Maruti,2016,270000,50000,Petrol,First Owner,5,47.3,22.74,796
133,Maruti,2011,165000,90000,Petrol,First Owner,5,67.1,20.92,998
134,Hyundai,2013,180000,60000,Petrol,First Owner,5,55.2,21.1,814
135,Maruti,2009,125000,60000,Petrol,Third Owner,5,46.3,19.7,796
136,Volkswagen,2012,450000,90000,Diesel,First Owner,5,103.6,20.54,1598
137,Maruti,2011,210000,46000,Petrol,First Owner,5,67.1,20.92,998
138,Hyundai,2017,320000,15000,Petrol,Second Owner,5,55.2,21.1,814
139,Maruti,2009,130000,70000,Petrol,Second Owner,5,46.3,19.7,796
140,Ford,2013,200000,70000,Diesel,Second Owner,5,67.0,19.68,1399
141,Maruti,2002,140000,50000,Petrol,Second Owner,5,46.3,19.7,796
142,Maruti,2015,236000,60000,Petrol,First Owner,5,47.3,22.74,796
143,Maruti,2015,390000,40000,Petrol,First Owner,5,67.04,20.51,998
144,Hyundai,2016,850000,58000,Diesel,First Owner,5,126.2,19.67,1582
145,Hyundai,2017,300000,10000,Petrol,First Owner,5,55.2,21.1,814
146,Hyundai,2019,466000,25000,Petrol,Fourth & Above Owner,5,68.0,20.3,1086
147,Ford,2014,484999,54000,Diesel,First Owner,5,98.96,23.0,1498
148,Hyundai,2011,220000,120000,Diesel,Second Owner,5,90.0,23.0,1396
149,Maruti,2013,630000,120000,Diesel,Second Owner,7,88.8,20.77,1248
150,Hyundai,2013,525000,75000,Diesel,First Owner,5,126.3,22.32,1582
151,Ford,2013,245000,70000,Diesel,Second Owner,5,68.1,20.0,1399
152,Hyundai,2012,210000,76000,Petrol,Fourth & Above Owner,5,78.9,20.36,1197
153,Maruti,2020,730000,1500,Petrol,First Owner,5,81.8,21.21,1197
154,Maruti,2015,400000,40000,Petrol,First Owner,5,67.04,20.51,998
155,Hyundai,2015,280000,60000,Petrol,Second Owner,5,55.2,21.1,814
156,Volkswagen,2017,700000,40906,Diesel,First Owner,5,108.62,21.66,1498
157,Hyundai,2012,270000,43755,Petrol,Second Owner,5,55.2,21.1,814
158,Hyundai,2011,400000,221889,Diesel,First Owner,5,126.32,22.32,1582
159,Maruti,2015,500000,150546,Petrol,First Owner,5,81.8,22.0,1197
160,Hyundai,2011,200000,80000,Petrol,First Owner,5,68.05,19.81,1086
161,Renault,2016,350000,25000,Petrol,First Owner,5,67.0,23.01,999
162,Maruti,2013,200000,24000,Petrol,First Owner,5,47.3,22.74,796
163,Ford,2012,300000,70000,Diesel,Second Owner,5,68.0,20.0,1399
164,Hyundai,2008,135000,80000,Petrol,Second Owner,5,68.05,19.81,1086
165,Maruti,2011,300000,70000,Diesel,Second Owner,5,74.0,22.9,1248
166,Maruti,2014,420000,80000,Diesel,First Owner,5,74.0,23.4,1248
167,Hyundai,2015,235000,50000,Petrol,First Owner,5,55.2,21.1,814
168,Ford,2016,650000,125000,Diesel,First Owner,5,98.59,22.77,1498
169,Maruti,2016,350000,80000,Petrol,First Owner,5,67.04,20.51,998
170,Hyundai,2010,270000,90000,Diesel,Third Owner,5,90.0,23.0,1396
171,Tata,2017,450000,50000,Diesel,First Owner,5,74.0,22.95,1248
172,Hyundai,2008,275000,98000,Petrol,Third Owner,5,78.9,20.36,1197
173,Maruti,2012,215000,90000,Petrol,Third Owner,5,46.3,19.7,796
174,Maruti,2019,655000,25000,Petrol,First Owner,5,81.8,21.21,1197
175,Ford,2019,800000,30000,Diesel,Third Owner,5,98.96,23.0,1498
176,Volkswagen,2011,300000,72000,Diesel,Second Owner,5,103.6,20.54,1598
177,Maruti,2015,320000,50000,Petrol,Second Owner,5,67.04,20.51,998
178,Hyundai,2010,210000,20000,Petrol,First Owner,5,68.05,19.81,1086
179,Renault,2016,300000,50000,Petrol,First Owner,5,67.0,23.01,999
180,Hyundai,2015,290000,17000,Petrol,First Owner,5,55.2,21.1,814
181,Maruti,2016,395000,50000,Petrol,First Owner,5,67.04,23.1,998
182,Hyundai,2014,195000,65000,Petrol,Second Owner,5,55.2,21.1,814
183,Hyundai,2015,715000,50000,Diesel,First Owner,5,88.73,22.54,1396
184,Hyundai,2012,335000,135000,Diesel,First Owner,5,88.76,21.9,1396
185,Maruti,2014,300000,35000,Petrol,First Owner,5,67.04,23.1,998
186,Tata,2013,280000,80000,Diesel,First Owner,5,88.76,21.02,1248
187,Hyundai,2018,500000,10000,Petrol,First Owner,5,81.86,20.14,1197
188,Renault,2017,300000,35000,Petrol,First Owner,5,67.0,23.01,999
189,Volkswagen,2014,350000,60000,Diesel,Second Owner,5,88.8,20.14,1498
190,Maruti,2015,450000,30000,Petrol,First Owner,5,81.8,20.4,1197
191,Hyundai,2011,180000,80000,Petrol,Second Owner,5,55.2,21.1,814
192,Hyundai,2013,200000,80000,Petrol,Second Owner,5,55.2,21.1,814
193,Maruti,2005,85000,150000,Petrol,Second Owner,5,46.3,19.7,796
194,Volkswagen,2010,275000,80000,Diesel,Fourth & Above Owner,5,73.9,22.07,1199
195,Hyundai,2012,321000,100000,Diesel,Second Owner,5,90.0,23.0,1396
196,Tata,2012,250000,40000,Diesel,First Owner,5,74.0,22.3,1248
197,Maruti,2010,165000,30000,Petrol,Third Owner,5,46.3,19.7,796
198,Maruti,2013,430000,86000,Diesel,Second Owner,5,74.0,22.9,1248
199,Renault,2018,400000,60000,Petrol,First Owner,5,67.0,23.01,999
200,Maruti,2015,430000,5000,Petrol,First Owner,5,67.04,20.51,998
201,Maruti,2017,573000,30000,Petrol,First Owner,5,81.8,20.4,1197
202,Hyundai,2015,210000,40000,Petrol,First Owner,5,55.2,21.1,814
203,Tata,2019,550000,15000,Petrol,First Owner,5,84.0,20.3,1199
204,Maruti,2008,95000,120000,Petrol,First Owner,5,46.3,19.7,796
205,Maruti,2009,101000,90000,Petrol,Fourth & Above Owner,8,35.0,19.7,796
206,Hyundai,2012,244000,38000,Petrol,First Owner,5,55.2,21.1,814
207,Maruti,2013,250000,90000,Petrol,Second Owner,5,67.04,20.51,998
208,Maruti,2016,660000,60000,Petrol,First Owner,5,83.1,21.4,1197
209,Maruti,2012,280000,156060,Diesel,First Owner,5,73.94,23.2,1248
210,Hyundai,2017,1050000,60000,Diesel,First Owner,5,126.2,19.67,1582
211,Maruti,2017,525000,70000,Petrol,First Owner,5,83.14,20.85,1197
212,Maruti,2015,241000,15000,Petrol,First Owner,5,47.3,22.74,796
213,Maruti,2015,235000,20000,Petrol,First Owner,5,47.3,22.74,796
214,Ford,2015,615000,80000,Diesel,First Owner,5,98.59,22.77,1498
215,Mahindra,2014,350000,110000,Diesel,Second Owner,5,64.1,20.8,1461
216,Maruti,2014,350000,35000,Petrol,First Owner,5,67.04,20.51,998
217,Maruti,2014,380000,35000,Petrol,First Owner,5,67.04,20.51,998
218,Hyundai,2015,360000,20000,Petrol,First Owner,5,68.05,19.81,1086
219,Hyundai,2016,425000,15000,Petrol,First Owner,5,68.05,19.81,1086
220,Maruti,2009,120000,58000,Petrol,First Owner,5,46.3,19.7,796
221,Hyundai,2015,204999,43000,Petrol,Second Owner,5,68.05,20.3,998
222,Maruti,2013,600000,60000,Diesel,First Owner,7,88.8,20.77,1248
223,Hyundai,2011,300000,80000,Diesel,First Owner,5,126.32,22.32,1582
224,Maruti,2015,750000,14000,Diesel,First Owner,7,88.76,20.77,1248
225,Hyundai,2011,160000,57000,Petrol,First Owner,5,55.2,21.1,814
226,Toyota,2015,1050000,60000,Diesel,First Owner,5,87.2,21.43,1364
227,Tata,2010,150000,120000,Diesel,Second Owner,5,88.8,21.12,1248
228,Maruti,2015,350000,25000,Petrol,First Owner,5,67.04,23.1,998
229,Renault,2019,580000,12000,Petrol,First Owner,7,72.0,20.0,999
230,Ford,2010,180000,110000,Diesel,Second Owner,5,68.0,20.0,1399
231,Hyundai,2010,270000,100000,Diesel,Fourth & Above Owner,5,90.0,21.9,1396
232,Ford,2011,190000,90000,Diesel,Second Owner,5,68.0,20.0,1399
233,Toyota,2013,409999,90000,Diesel,First Owner,5,67.04,23.59,1364
234,Hyundai,2015,270000,43000,Petrol,First Owner,5,55.2,21.1,814
235,Tata,2017,280000,80000,Diesel,First Owner,5,74.0,22.95,1248
236,Tata,2012,130000,60000,Diesel,First Owner,5,74.0,22.3,1248
237,Hyundai,2014,260000,18945,Petrol,First Owner,5,55.2,21.1,814
238,Hyundai,2012,320000,107825,Diesel,Second Owner,5,90.0,21.9,1396
239,Maruti,2020,370000,15000,Petrol,First Owner,5,47.3,22.05,796
240,Hyundai,2018,750000,30000,Diesel,First Owner,5,88.76,21.19,1396
241,Hyundai,2019,450000,10000,Petrol,First Owner,5,68.0,20.3,1086
242,Maruti,2012,400000,100000,Diesel,Third Owner,7,88.76,20.77,1248
243,Maruti,2013,199000,60000,Petrol,Second Owner,5,67.1,20.2,998
244,Hyundai,2016,540000,80000,Diesel,Third Owner,5,88.73,21.19,1396
245,Maruti,2011,250000,85000,Diesel,Second Owner,5,88.8,21.5,1248
246,Hyundai,2012,450000,120000,Diesel,Second Owner,5,126.32,22.32,1582
247,Hyundai,2019,1000000,15000,Diesel,First Owner,5,88.7,22.1,1396
248,Maruti,2012,415000,108000,Diesel,First Owner,5,74.0,23.4,1248
249,Ford,2011,175000,90400,Diesel,First Owner,5,68.0,20.0,1399
250,Maruti,2003,85000,120000,Diesel,Third Owner,5,58.0,20.8,1527
251,Maruti,2019,675000,5000,Petrol,First Owner,5,81.8,21.21,1197
252,Renault,2016,535000,50000,Diesel,First Owner,5,83.8,19.87,1461
253,Renault,2019,675000,5000,Petrol,First Owner,7,72.0,20.0,999
254,Maruti,2012,425000,96000,Diesel,Second Owner,7,88.8,20.77,1248
255,Hyundai,2017,850000,63186,Diesel,First Owner,5,88.73,22.54,1396
256,Maruti,2019,675000,5000,Petrol,First Owner,5,83.1,21.4,1197
257,Maruti,2010,150000,91500,Petrol,First Owner,5,46.3,19.7,796
258,Volkswagen,2012,350000,40000,Diesel,First Owner,5,103.6,20.54,1598
259,Maruti,2012,300000,70000,Diesel,First Owner,5,73.94,23.2,1248
260,Hyundai,2013,700000,120000,Diesel,First Owner,5,126.24,22.7,1582
261,Chevrolet,2013,300000,65000,Diesel,First Owner,5,76.9,22.1,1248
262,Hyundai,2015,650000,100000,Diesel,First Owner,5,88.73,22.54,1396
263,Hyundai,2015,650000,80000,Diesel,First Owner,5,88.73,22.54,1396
264,Volkswagen,2013,350000,80000,Diesel,Third Owner,5,73.9,22.07,1199
265,Maruti,2013,240000,60000,Petrol,First Owner,5,67.1,20.92,998
266,Maruti,2014,550000,50000,Diesel,Second Owner,7,88.76,20.77,1248
267,Maruti,2013,350000,40000,Petrol,First Owner,5,67.04,20.51,998
268,Ford,2012,425000,81632,Diesel,First Owner,5,68.0,20.0,1399
269,Ford,2014,750000,101504,Diesel,First Owner,5,89.84,22.7,1498
270,Ford,2013,600000,125531,Diesel,Second Owner,5,98.59,22.77,1498
271,Tata,2018,950000,40000,Diesel,First Owner,5,108.5,21.5,1497
272,Maruti,2013,409999,100000,Diesel,Third Owner,5,73.94,23.2,1248
273,Maruti,2000,108000,206000,Petrol,Fourth & Above Owner,5,46.3,19.7,796
274,Maruti,2017,425000,40000,Petrol,Second Owner,5,67.04,23.1,998
275,Hyundai,2013,310000,70000,Petrol,First Owner,5,68.05,19.81,1086
276,Hyundai,2017,1125000,105000,Diesel,First Owner,5,88.7,21.38,1396
277,Volkswagen,2011,388000,80000,Diesel,Second Owner,5,73.9,22.07,1199
278,Maruti,2009,120000,90000,Petrol,First Owner,5,46.3,19.7,796
279,Maruti,2015,270000,53000,Petrol,Second Owner,5,47.3,22.74,796
280,Maruti,2019,600000,10000,Petrol,First Owner,5,81.8,21.21,1197
281,Maruti,2013,215000,25000,Petrol,First Owner,5,67.1,20.92,998
282,Hyundai,2015,750000,74000,Diesel,First Owner,5,126.2,19.67,1582
283,Maruti,2018,795000,41779,Petrol,First Owner,5,81.8,21.21,1197
284,Maruti,2018,750000,15000,Petrol,First Owner,5,81.8,22.0,1197
285,Hyundai,2017,1150000,63309,Diesel,First Owner,5,126.2,19.67,1582
286,Maruti,2016,400000,35000,Petrol,First Owner,5,67.04,23.1,998
287,Chevrolet,2015,480000,80000,Diesel,Second Owner,5,74.0,22.1,1248
288,Maruti,2005,90000,40000,Petrol,Second Owner,5,46.3,19.7,796
289,Maruti,2005,80000,40000,Petrol,Second Owner,5,46.3,19.7,796
290,Maruti,2015,350000,90000,Diesel,First Owner,5,73.94,23.2,1248
291,Mahindra,2012,350000,25000,Diesel,First Owner,5,65.0,21.03,1461
292,Maruti,2016,340000,40000,Petrol,First Owner,5,67.04,20.51,998
293,Hyundai,2014,300000,65000,Petrol,First Owner,5,78.9,20.36,1197
294,Maruti,2014,204999,15000,Petrol,Second Owner,5,47.3,22.74,796
295,Mahindra,2012,254999,70000,Diesel,Second Owner,5,65.0,20.8,1461
296,Hyundai,2017,280000,50000,Petrol,Second Owner,5,55.2,21.1,814
297,Hyundai,2011,225000,80000,Petrol,Second Owner,5,68.05,19.81,1086
298,Mahindra,2012,260000,70000,Diesel,Second Owner,5,65.0,21.03,1461
299,Ford,2012,280000,60000,Diesel,First Owner,5,68.0,20.0,1399
300,Mahindra,2014,350000,106000,Diesel,Second Owner,5,65.0,20.8,1461
301,Maruti,2013,250000,27000,Petrol,First Owner,5,67.1,20.92,998
302,Maruti,2007,95000,70000,Petrol,Second Owner,5,46.3,19.7,796
303,Maruti,2017,610000,15000,Petrol,First Owner,5,81.8,22.0,1197
304,Maruti,2015,511000,30000,Petrol,First Owner,5,83.14,20.85,1197
305,Renault,2013,434999,120000,Diesel,First Owner,5,84.8,21.64,1461
306,Ford,2010,210000,100000,Diesel,Second Owner,5,68.0,20.0,1399
307,Renault,2017,290000,50000,Petrol,First Owner,5,67.0,23.01,999
308,Maruti,2006,100000,40000,Petrol,First Owner,5,46.3,19.7,796
309,Maruti,2019,450000,10000,CNG,First Owner,5,61.7,21.94,1196
310,Maruti,2014,351000,89100,Diesel,Second Owner,5,73.94,23.2,1248
311,Hyundai,2015,225000,120000,Petrol,Second Owner,5,55.2,21.1,814
312,Maruti,2011,140000,50000,Petrol,Third Owner,5,67.1,20.92,998
313,Maruti,2017,370000,140000,CNG,First Owner,5,61.7,21.94,1196
314,Hyundai,2015,500000,126000,Diesel,First Owner,5,88.73,21.19,1396
315,Hyundai,2019,570000,15000,Petrol,First Owner,5,81.86,20.14,1197
316,Maruti,2009,120000,120000,Petrol,First Owner,5,46.3,19.7,796
317,Maruti,2011,280000,210000,Diesel,First Owner,5,74.0,22.9,1248
318,Maruti,2009,180000,85000,Diesel,Third Owner,5,73.9,21.1,1248
319,Hyundai,2009,340000,40000,Diesel,First Owner,5,90.0,23.0,1396
320,Maruti,2017,400000,65000,Petrol,Second Owner,5,67.04,20.51,998
321,Maruti,2005,95000,70000,Petrol,Third Owner,5,46.3,19.7,796
322,Renault,2017,880000,65000,Diesel,First Owner,8,108.5,19.98,1461
323,Maruti,2019,480000,25000,Petrol,First Owner,5,81.8,20.52,1197
324,Honda,2016,850000,72113,Diesel,First Owner,7,98.6,21.9,1498
325,Tata,2012,300000,40000,Diesel,First Owner,5,70.0,23.57,1396
326,Maruti,2010,220000,20000,Petrol,First Owner,5,85.8,21.1,1197
327,Maruti,2014,450000,80000,Diesel,First Owner,5,74.0,23.4,1248
328,Hyundai,2018,800000,30000,Diesel,First Owner,5,88.76,21.19,1396
329,Volkswagen,2011,375000,69000,Diesel,Second Owner,5,103.6,20.54,1598
330,Maruti,2004,60000,113000,Petrol,Second Owner,5,46.3,19.7,796
331,Renault,2012,300000,100000,Diesel,Third Owner,5,63.12,23.08,1461
332,Tata,2012,150000,110000,Diesel,First Owner,5,74.0,22.3,1248
333,Ford,2015,600000,90000,Diesel,First Owner,5,98.59,22.77,1498
334,Ford,2011,204999,100000,Diesel,Second Owner,5,68.0,20.0,1399
335,Maruti,2019,610000,10000,Petrol,First Owner,5,81.8,21.21,1197
336,Maruti,2014,509999,110000,Diesel,First Owner,5,74.0,23.4,1248
337,Maruti,2014,511000,100000,Diesel,First Owner,5,74.0,23.4,1248
338,Hyundai,2014,451000,91000,Diesel,First Owner,5,88.73,22.54,1396
339,Hyundai,2009,170000,100000,Petrol,First Owner,5,78.9,20.36,1197
340,Maruti,2013,450000,120000,Diesel,Second Owner,5,74.0,23.4,1248
341,Maruti,2016,305000,60000,Petrol,Second Owner,5,47.3,22.74,796
342,Chevrolet,2016,250000,60000,Diesel,Second Owner,5,74.0,22.1,1248
343,Ford,2012,200000,104500,Diesel,Second Owner,5,68.0,20.0,1399
344,Maruti,2014,509999,100000,Diesel,Second Owner,5,74.0,22.9,1248
345,Maruti,2014,235000,50000,Petrol,First Owner,5,47.3,22.74,796
346,Maruti,2019,585000,10000,Petrol,First Owner,5,81.8,21.21,1197
347,Mahindra,2018,500000,10000,Diesel,First Owner,8,45.0,23.5,909
348,Maruti,2019,450000,60000,CNG,First Owner,5,61.7,21.94,1196
349,Hyundai,2013,325000,70000,Diesel,Third Owner,5,88.76,21.9,1396
350,Volkswagen,2011,260000,120000,Diesel,Third Owner,5,103.6,20.54,1598
351,Maruti,2009,130000,80000,Petrol,Third Owner,5,46.3,19.7,796
